##time,flux,flux_err
2.460093840867000166e+06,9.913619999999999655e-01,9.009999999999999997e-04
2.460093841581000015e+06,9.911759999999999460e-01,9.020000000000000240e-04
2.460093842296000104e+06,9.921900000000000164e-01,8.989999999999999511e-04
2.460093843009999953e+06,9.904589999999999783e-01,8.999999999999999754e-04
2.460093843725000042e+06,9.955699999999999550e-01,9.070000000000000371e-04
2.460093844438999891e+06,9.924180000000000224e-01,9.020000000000000240e-04
2.460093845153999981e+06,9.898419999999999996e-01,8.899999999999999491e-04
2.460093845869000070e+06,9.920250000000000457e-01,8.989999999999999511e-04
2.460093846582999919e+06,9.924800000000000288e-01,8.959999999999999866e-04
2.460093847298000008e+06,9.897690000000000099e-01,8.999999999999999754e-04
2.460093848011999857e+06,9.936260000000000092e-01,9.100000000000000016e-04
2.460093848726999946e+06,9.910689999999999777e-01,9.079999999999999530e-04
2.460093849440999795e+06,9.890529999999999600e-01,9.129999999999999661e-04
2.460093850155999884e+06,9.940459999999999852e-01,9.200000000000000278e-04
2.460093850870000198e+06,9.911950000000000482e-01,9.200000000000000278e-04
2.460093851584999822e+06,9.934389999999999610e-01,9.250000000000000409e-04
2.460093852299000137e+06,9.949959999999999916e-01,9.269999999999999811e-04
2.460093853014000226e+06,9.904509999999999703e-01,9.269999999999999811e-04
2.460093853728999849e+06,9.956399999999999695e-01,9.330000000000000186e-04
2.460093854443000164e+06,9.894889999999999519e-01,9.340000000000000429e-04
2.460093855157999787e+06,9.969759999999999733e-01,9.449999999999999850e-04
2.460093855872999877e+06,9.954300000000000370e-01,9.439999999999999607e-04
2.460093856587000191e+06,9.897960000000000091e-01,9.479999999999999495e-04
2.460093857301999815e+06,9.963220000000000409e-01,9.619999999999999645e-04
2.460093858016000129e+06,9.941590000000000149e-01,9.829999999999999329e-04
2.460093858731000219e+06,9.951339999999999630e-01,1.005999999999999950e-03
2.460093859445000067e+06,9.965699999999999559e-01,1.020000000000000073e-03
2.460093860160000157e+06,9.921600000000000419e-01,1.030000000000000100e-03
2.460093860874000005e+06,9.955450000000000133e-01,1.028999999999999967e-03
2.460093861589000095e+06,9.922260000000000524e-01,1.033000000000000064e-03
2.460093862304000184e+06,9.941330000000000444e-01,1.039999999999999909e-03
2.460093863018000033e+06,9.972100000000000408e-01,1.051000000000000068e-03
2.460093863731999882e+06,9.951860000000000150e-01,1.056999999999999997e-03
2.460093864446999971e+06,9.947909999999999808e-01,1.049000000000000019e-03
2.460093865162000060e+06,1.002931999999999935e+00,1.049999999999999935e-03
2.460093865875999909e+06,9.897040000000000282e-01,1.036999999999999944e-03
2.460093866590999998e+06,9.954009999999999803e-01,1.033000000000000064e-03
2.460093867306000087e+06,9.913980000000000015e-01,1.039999999999999909e-03
2.460093868019999936e+06,9.951179999999999470e-01,1.046999999999999971e-03
2.460093868735000025e+06,9.918820000000000414e-01,1.046999999999999971e-03
2.460093869448999874e+06,9.925840000000000218e-01,1.054999999999999948e-03
